carrier;carrier_name;airport;airport_name;arr_flights;arr_del15; arr_delay;arr_cancelled;;;;Legtöbb járat szám;;;;;;;;;;;
DL;Delta Air Lines Inc.;STL;St. Louis; MO: St Louis Lambert International;577;0;9;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;STT;Charlotte Amalie; VI: Cyril E King;37;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SYR;Syracuse; NY: Syracuse Hancock International;113;0;3;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;TLH;Tallahassee; FL: Tallahassee International;135;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;TPA;Tampa; FL: Tampa International;896;0;20;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;TRI;Bristol/Johnson City/Kingsport; TN: Tri Cities;29;0;1;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;TUL;Tulsa; OK: Tulsa International;66;0;1;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;TUS;Tucson; AZ: Tucson International;79;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;TYS;Knoxville; TN: McGhee Tyson;84;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;VPS;Valparaiso; FL: Eglin AFB Destin Fort Walton Beach;201;0;7;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;XNA;Fayetteville; AR: Northwest Arkansas Regional;32;1;3;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ABQ;Albuquerque; NM: Albuquerque International Sunport;30;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;AEX;Alexandria; LA: Alexandria International;84;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ALB;Albany; NY: Albany International;1;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;AMA;Amarillo; TX: Rick Husband Amarillo International;86;1;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;77;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;AUS;Austin; TX: Austin - Bergstrom International;1;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;AVP;Scranton/Wilkes-Barre; PA: Wilkes Barre Scranton International;6;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;BGR;Bangor; ME: Bangor International;59;1;44867;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;72;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;BNA;Nashville; TN: Nashville International;93;0;44675;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;BRO;Brownsville; TX: Brownsville South Padre Island International;109;0;44568;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;BTR;Baton Rouge; LA: Baton Rouge Metropolitan/Ryan Field;117;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;BTV;Burlington; VT: Burlington International;64;0;5;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;BUF;Buffalo; NY: Buffalo Niagara International;111;1;12;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;CHS;Charleston; SC: Charleston AFB/International;32;0;3;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;CLE;Cleveland; OH: Cleveland-Hopkins International;270;0;44913;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;CLL;College Station/Bryan; TX: Easterwood Field;84;0;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;CLT;Charlotte; NC: Charlotte Douglas International;60;0;3;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;CMH;Columbus; OH: John Glenn Columbus International;31;1;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;COS;Colorado Springs; CO: City of Colorado Springs Municipal;22;0;44562;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;CRP;Corpus Christi; TX: Corpus Christi International;120;0;44624;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;183;1;44890;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;DAY;Dayton; OH: James M Cox/Dayton International;7;0;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;DCA;Washington; DC: Ronald Reagan Washington National;129;0;18;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;21;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;DTW;Detroit; MI: Detroit Metro Wayne County;60;0;44570;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ECP;Panama City; FL: Northwest Florida Beaches International;60;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ELP;El Paso; TX: El Paso International;39;0;44590;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;EVV;Evansville; IN: Evansville Regional;1;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;EWR;Newark; NJ: Newark Liberty International;1333;0;99;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;FNT;Flint; MI: Bishop International;4;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;FSD;Sioux Falls; SD: Joe Foss Field;1;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;GPT;Gulfport/Biloxi; MS: Gulfport-Biloxi International;88;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;GRB;Green Bay; WI: Green Bay Austin Straubel International;4;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;GRK;Killeen; TX: Robert Gray AAF;68;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;GRR;Grand Rapids; MI: Gerald R. Ford International;99;0;9;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;GSO;Greensboro/High Point; NC: Piedmont Triad International;29;0;44584;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;GSP;Greer; SC: Greenville-Spartanburg International;79;0;8;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;HRL;Harlingen/San Benito; TX: Valley International;75;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;HSV;Huntsville; AL: Huntsville International-Carl T Jones Field;54;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;IAH;Houston; TX: George Bush Intercontinental/Houston;3066;3;131;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;45;0;44585;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;IND;Indianapolis; IN: Indianapolis International;213;0;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;JAN;Jackson/Vicksburg; MS: Jackson Medgar Wiley Evers International;158;1;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;JAX;Jacksonville; FL: Jacksonville International;98;0;44579;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;LBB;Lubbock; TX: Lubbock Preston Smith International;55;1;3;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;LCH;Lake Charles; LA: Lake Charles Regional;109;0;3;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;LEX;Lexington; KY: Blue Grass;40;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;LFT;Lafayette; LA: Lafayette Regional Paul Fournet Field;135;0;5;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;LGA;New York; NY: LaGuardia;184;1;6;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;LIT;Little Rock; AR: Bill and Hillary Clinton Nat Adams Field;122;0;4;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;LNK;Lincoln; NE: Lincoln Airport;17;0;44593;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;LRD;Laredo; TX: Laredo International;84;0;3;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MAF;Midland/Odessa; TX: Midland International Air and Space Port;9;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MCI;Kansas City; MO: Kansas City International;32;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MEM;Memphis; TN: Memphis International;34;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MFE;Mission/McAllen/Edinburg; TX: McAllen Miller International;43;0;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MKE;Milwaukee; WI: General Mitchell International;1;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MLU;Monroe; LA: Monroe Regional;55;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MOB;Mobile; AL: Mobile Regional;147;0;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MSN;Madison; WI: Dane County Regional-Truax Field;59;1;44744;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MSP;Minneapolis; MN: Minneapolis-St Paul International;51;0;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;MSY;New Orleans; LA: Louis Armstrong New Orleans International;3;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;OKC;Oklahoma City; OK: Will Rogers World;38;0;3;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;OMA;Omaha; NE: Eppley Airfield;19;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ORD;Chicago; IL: Chicago O'Hare International;1020;2;61;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ORF;Norfolk; VA: Norfolk International;79;0;44701;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PHL;Philadelphia; PA: Philadelphia International;22;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PIA;Peoria; IL: General Downing - Peoria International;36;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PIT;Pittsburgh; PA: Pittsburgh International;4;1;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PNS;Pensacola; FL: Pensacola International;87;0;44597;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PVD;Providence; RI: Theodore Francis Green State;29;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PWM;Portland; ME: Portland International Jetport;26;0;4;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;RDU;Raleigh/Durham; NC: Raleigh-Durham International;39;0;44565;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;RIC;Richmond; VA: Richmond International;92;0;11;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ROC;Rochester; NY: Greater Rochester International;90;0;12;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SAT;San Antonio; TX: San Antonio International;5;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SAV;Savannah; GA: Savannah/Hilton Head International;60;0;44630;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SBN;South Bend; IN: South Bend International;4;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SCE;State College; PA: University Park;4;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SDF;Louisville; KY: Louisville Muhammad Ali International;1;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SGF;Springfield; MO: Springfield-Branson National;47;0;44628;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SHV;Shreveport; LA: Shreveport Regional;93;0;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SLC;Salt Lake City; UT: Salt Lake City International;31;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;STL;St. Louis; MO: St Louis Lambert International;268;0;11;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SYR;Syracuse; NY: Syracuse Hancock International;112;0;44841;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;TUL;Tulsa; OK: Tulsa International;131;0;44595;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;TUS;Tucson; AZ: Tucson International;2;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;TYS;Knoxville; TN: McGhee Tyson;137;1;7;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;VPS;Valparaiso; FL: Eglin AFB Destin Fort Walton Beach;59;1;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;XNA;Fayetteville; AR: Northwest Arkansas Regional;21;1;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ABQ;Albuquerque; NM: Albuquerque International Sunport;15;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ALB;Albany; NY: Albany International;32;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;353;0;22;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;AUS;Austin; TX: Austin - Bergstrom International;229;0;23;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BDL;Hartford; CT: Bradley International;42;0;44764;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BFM;Mobile; AL: Mobile Downtown;16;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;6;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BIL;Billings; MT: Billings Logan International;12;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BIS;Bismarck/Mandan; ND: Bismarck Municipal;5;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BKG;Branson; MO: Branson Airport;16;1;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BMI;Bloomington/Normal; IL: Central Il Regional Airport at Bloomington;15;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BNA;Nashville; TN: Nashville International;91;0;6;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BOI;Boise; ID: Boise Air Terminal;4;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BOS;Boston; MA: Logan International;72;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BTV;Burlington; VT: Burlington International;14;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BUF;Buffalo; NY: Buffalo Niagara International;66;0;8;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;33;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BZN;Bozeman; MT: Bozeman Yellowstone International;18;1;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CHS;Charleston; SC: Charleston AFB/International;22;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CID;Cedar Rapids/Iowa City; IA: The Eastern Iowa;20;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CLE;Cleveland; OH: Cleveland-Hopkins International;286;0;29;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CLT;Charlotte; NC: Charlotte Douglas International;140;0;11;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CMH;Columbus; OH: John Glenn Columbus International;26;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;COS;Colorado Springs; CO: City of Colorado Springs Municipal;119;0;14;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;258;0;21;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DCA;Washington; DC: Ronald Reagan Washington National;90;0;4;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DEN;Denver; CO: Denver International;2065;2;160;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;102;0;44782;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DSM;Des Moines; IA: Des Moines International;32;0;44562;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DTW;Detroit; MI: Detroit Metro Wayne County;107;0;8;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ELP;El Paso; TX: El Paso International;15;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;EWR;Newark; NJ: Newark Liberty International;85;0;44622;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;FAR;Fargo; ND: Hector International;20;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;FAT;Fresno; CA: Fresno Yosemite International;12;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;FLL;Fort Lauderdale; FL: Fort Lauderdale-Hollywood International;107;0;44627;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;FSD;Sioux Falls; SD: Joe Foss Field;15;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;GEG;Spokane; WA: Spokane International;23;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;GRB;Green Bay; WI: Green Bay Austin Straubel International;12;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;GRR;Grand Rapids; MI: Gerald R. Ford International;50;0;44572;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;GSP;Greer; SC: Greenville-Spartanburg International;28;0;4;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;HRL;Harlingen/San Benito; TX: Valley International;16;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;HSV;Huntsville; AL: Huntsville International-Carl T Jones Field;15;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;IAD;Washington; DC: Washington Dulles International;50;0;5;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;IAH;Houston; TX: George Bush Intercontinental/Houston;93;0;12;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;15;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;IND;Indianapolis; IN: Indianapolis International;61;0;44686;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ISP;Islip; NY: Long Island MacArthur;159;0;10;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;JAN;Jackson/Vicksburg; MS: Jackson Medgar Wiley Evers International;8;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;JAX;Jacksonville; FL: Jacksonville International;47;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LAS;Las Vegas; NV: McCarran International;1017;0;104;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LAX;Los Angeles; CA: Los Angeles International;97;0;5;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LFT;Lafayette; LA: Lafayette Regional Paul Fournet Field;4;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LGA;New York; NY: LaGuardia;90;0;44746;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LIT;Little Rock; AR: Bill and Hillary Clinton Nat Adams Field;15;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MCI;Kansas City; MO: Kansas City International;32;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MCO;Orlando; FL: Orlando International;1251;0;121;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MDT;Harrisburg; PA: Harrisburg International;22;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MEM;Memphis; TN: Memphis International;24;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MIA;Miami; FL: Miami International;268;0;24;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MKE;Milwaukee; WI: General Mitchell International;119;0;12;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MSN;Madison; WI: Dane County Regional-Truax Field;37;1;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MSO;Missoula; MT: Missoula International;8;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MSP;Minneapolis; MN: Minneapolis-St Paul International;121;0;44760;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MSY;New Orleans; LA: Louis Armstrong New Orleans International;87;0;44720;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MYR;Myrtle Beach; SC: Myrtle Beach International;18;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;OKC;Oklahoma City; OK: Will Rogers World;16;0;44569;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;OMA;Omaha; NE: Eppley Airfield;56;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ONT;Ontario; CA: Ontario International;80;0;44829;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ORD;Chicago; IL: Chicago O'Hare International;242;0;18;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ORF;Norfolk; VA: Norfolk International;34;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PBI;West Palm Beach/Palm Beach; FL: Palm Beach International;77;0;5;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PDX;Portland; OR: Portland International;52;0;4;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PHL;Philadelphia; PA: Philadelphia International;547;1;56;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PHX;Phoenix; AZ: Phoenix Sky Harbor International;315;1;26;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PIT;Pittsburgh; PA: Pittsburgh International;12;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PNS;Pensacola; FL: Pensacola International;17;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PSP;Palm Springs; CA: Palm Springs International;6;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PVD;Providence; RI: Theodore Francis Green State;55;0;44660;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PWM;Portland; ME: Portland International Jetport;40;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;RDU;Raleigh/Durham; NC: Raleigh-Durham International;218;0;22;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;RNO;Reno; NV: Reno/Tahoe International;15;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;RSW;Fort Myers; FL: Southwest Florida International;306;0;13;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SAN;San Diego; CA: San Diego International;160;3;9;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SAT;San Antonio; TX: San Antonio International;91;0;6;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SAV;Savannah; GA: Savannah/Hilton Head International;9;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SBA;Santa Barbara; CA: Santa Barbara Municipal;5;1;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SDF;Louisville; KY: Louisville Muhammad Ali International;11;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SEA;Seattle; WA: Seattle/Tacoma International;49;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SFO;San Francisco; CA: San Francisco International;136;0;13;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SJC;San Jose; CA: Norman Y. Mineta San Jose International;42;0;6;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SJU;San Juan; PR: Luis Munoz Marin International;180;0;44834;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SLC;Salt Lake City; UT: Salt Lake City International;139;0;44738;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SMF;Sacramento; CA: Sacramento International;45;0;44675;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SNA;Santa Ana; CA: John Wayne Airport-Orange County;59;0;44783;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SRQ;Sarasota/Bradenton; FL: Sarasota/Bradenton International;40;0;44603;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;STL;St. Louis; MO: St Louis Lambert International;92;0;44775;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SYR;Syracuse; NY: Syracuse Hancock International;51;0;44579;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TPA;Tampa; FL: Tampa International;357;0;21;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TTN;Trenton; NJ: Trenton Mercer;273;1;44729;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TUL;Tulsa; OK: Tulsa International;6;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TUS;Tucson; AZ: Tucson International;7;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TYR;Tyler; TX: Tyler Pounds Regional;10;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TYS;Knoxville; TN: McGhee Tyson;19;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;XNA;Fayetteville; AR: Northwest Arkansas Regional;11;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;ABE;Allentown/Bethlehem/Easton; PA: Lehigh Valley International;92;0;4;;;;;;;;;;;;;;;
G4;Allegiant Air;ABQ;Albuquerque; NM: Albuquerque International Sunport;18;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;ALB;Albany; NY: Albany International;40;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;ATW;Appleton; WI: Appleton International;41;1;1;;;;;;;;;;;;;;;
G4;Allegiant Air;AUS;Austin; TX: Austin - Bergstrom International;45;0;44608;;;;;;;;;;;;;;;
G4;Allegiant Air;AVL;Asheville; NC: Asheville Regional;223;0;24;;;;;;;;;;;;;;;
G4;Allegiant Air;AZA;Phoenix; AZ: Phoenix - Mesa Gateway;459;0;64;;;;;;;;;;;;;;;
G4;Allegiant Air;BGR;Bangor; ME: Bangor International;25;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;BIL;Billings; MT: Billings Logan International;19;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;BIS;Bismarck/Mandan; ND: Bismarck Municipal;29;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;BLI;Bellingham; WA: Bellingham International;119;0;44667;;;;;;;;;;;;;;;
G4;Allegiant Air;BLV;Belleville; IL: Scott AFB/MidAmerica;61;0;44567;;;;;;;;;;;;;;;
G4;Allegiant Air;BMI;Bloomington/Normal; IL: Central Il Regional Airport at Bloomington;17;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;BNA;Nashville; TN: Nashville International;85;0;13;;;;;;;;;;;;;;;
G4;Allegiant Air;BOI;Boise; ID: Boise Air Terminal;24;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;28;0;44573;;;;;;;;;;;;;;;
G4;Allegiant Air;BZN;Bozeman; MT: Bozeman Yellowstone International;18;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;CHA;Chattanooga; TN: Lovell Field;18;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;CHS;Charleston; SC: Charleston AFB/International;27;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;CID;Cedar Rapids/Iowa City; IA: The Eastern Iowa;51;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;CKB;Clarksburg/Fairmont; WV: North Central West Virginia;8;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;CLE;Cleveland; OH: Cleveland-Hopkins International;36;0;44584;;;;;;;;;;;;;;;
